ID,lat,lon
705,39,-74.15541144
706,39,-74.02717371
707,39,-73.89893597
708,39,-73.77069823
709,39,-73.64246049
710,39,-73.51422275
711,39,-73.38598501
712,39,-73.25774728
713,39,-73.12950954
714,39,-73.0012718
715,39,-72.87303406
716,39,-72.74479632
717,39,-72.61655858
718,39,-72.48832085
719,39,-72.36008311
720,39,-72.23184537
721,39,-72.10360763
722,39,-71.97536989
723,39,-71.84713215
724,39,-71.71889441
725,39,-71.59065668
726,39,-71.46241894
727,39,-71.3341812
728,39,-71.20594346
729,39,-71.07770572
730,39,-70.94946798
731,39,-70.82123025
732,39,-70.69299251
733,39,-70.56475477
734,39,-70.43651703
735,39,-70.30827929
736,39,-70.18004155
737,39,-70.05180381
738,39,-69.92356608
739,39,-69.79532834
740,39,-69.6670906
741,39,-69.53885286
742,39,-69.41061512
743,39,-69.28237738
744,39,-69.15413965
745,39,-69.02590191
746,39,-68.89766417
747,39,-68.76942643
748,39,-68.64118869
749,39,-68.51295095
750,39,-68.38471322
751,39,-68.25647548
752,39,-68.12823774
753,39,-68
754,36.5,-75.73181994
755,36.5,-75.60751917
756,36.5,-75.4832184
757,36.5,-75.35891764
758,36.5,-75.23461687
759,36.5,-75.1103161
760,36.5,-74.98601534
761,36.5,-74.86171457
762,36.5,-74.7374138
763,36.5,-74.61311303
764,36.5,-74.48881227
765,36.5,-74.3645115
766,36.5,-74.24021073
767,36.5,-74.11590997
768,36.5,-73.9916092
769,36.5,-73.86730843
770,36.5,-73.74300767
771,36.5,-73.6187069
772,36.5,-73.49440613
773,36.5,-73.37010537
774,36.5,-73.2458046
775,36.5,-73.12150383
776,36.5,-72.99720307
777,36.5,-72.8729023
778,36.5,-72.74860153
779,36.5,-72.62430077
780,36.5,-72.5
781,18.23,-72
782,18.23,-71.90601504
783,18.23,-71.81203008
784,18.23,-71.71804511
785,18.23,-71.62406015
786,18.23,-71.53007519
787,18.23,-71.43609023
788,18.23,-71.34210526
789,18.23,-71.2481203
790,18.23,-71.15413534
791,18.23,-71.06015038
792,18.23,-70.96616541
793,18.23,-70.87218045
794,18.23,-70.77819549
795,18.23,-70.68421053
796,18.23,-70.59022556
797,18.23,-70.4962406
798,18.23,-70.40225564
799,18.23,-70.30827068
800,18.23,-70.21428571
801,18.23,-70.12030075
802,18.23,-70.02631579
803,18.23,-69.93233083
804,18.23,-69.83834586
805,18.23,-69.7443609
806,18.23,-69.65037594
807,18.23,-69.55639098
808,18.23,-69.46240602
809,18.23,-69.36842105
810,18.23,-69.27443609
811,18.23,-69.18045113
812,18.23,-69.08646617
813,18.23,-68.9924812
814,18.23,-68.89849624
815,18.23,-68.80451128
816,18.23,-68.71052632
817,18.23,-68.61654135
818,18.23,-68.52255639
819,18.23,-68.42857143
820,18.23,-68.33458647
821,18.23,-68.2406015
822,18.23,-68.14661654
823,18.23,-68.05263158
824,18.23,-67.95864662
825,18.23,-67.86466165
826,18.23,-67.77067669
827,18.23,-67.67669173
828,18.23,-67.58270677
829,18.23,-67.4887218
830,18.23,-67.39473684
831,18.23,-67.30075188
832,18.23,-67.20676692
833,18.23,-67.11278195
834,18.23,-67.01879699
835,18.23,-66.92481203
836,18.23,-66.83082707
837,18.23,-66.73684211
838,18.23,-66.64285714
839,18.23,-66.54887218
840,18.23,-66.45488722
841,18.23,-66.36090226
842,18.23,-66.26691729
843,18.23,-66.17293233
844,18.23,-66.07894737
845,18.23,-65.98496241
846,18.23,-65.89097744
847,18.23,-65.79699248
848,18.23,-65.70300752
849,18.23,-65.60902256
850,18.23,-65.51503759
851,18.23,-65.42105263
852,18.23,-65.32706767
853,18.23,-65.23308271
854,18.23,-65.13909774
855,18.23,-65.04511278
856,18.23,-64.95112782
857,18.23,-64.85714286
858,18.23,-64.76315789
859,18.23,-64.66917293
860,18.23,-64.57518797
861,18.23,-64.48120301
862,18.23,-64.38721805
863,18.23,-64.29323308
864,18.23,-64.19924812
865,18.23,-64.10526316
866,18.23,-64.0112782
867,18.23,-63.91729323
868,18.23,-63.82330827
869,18.23,-63.72932331
870,18.23,-63.63533835
871,18.23,-63.54135338
872,18.23,-63.44736842
873,18.23,-63.35338346
874,18.23,-63.2593985
875,18.23,-63.16541353
876,18.23,-63.07142857
